scenario,run,npc_vertical_silence,npc_horizontal_silence,npc_behavior_silence,pedestrian_vertical_silence,pedestrian_horizontal_silence,pedestrian_direction_x_silence,pedestrian_direction_y_silence,pedestrian_speed_silence,weather_sun_angle_silence,weather_fog_density_silence
scenario_2,run_6,0.033373063170441,0.03933253873659118,0.027413587604290822,0.05125148986889154,0.013110846245530394,0.04052443384982122,0.007151370679380214,0.04410011918951132,0.0,0.010727056019070322
scenario_2,run_7,0.034129692832764506,0.053469852104664393,0.01820250284414107,0.03640500568828214,0.007963594994311717,0.02844141069397042,0.009101251422070534,0.04550625711035267,0.0,0.026166097838452786
scenario_2,run_8,0.033373063170441,0.057210965435041714,0.025029797377830752,0.05125148986889154,0.003575685339690107,0.021454112038140644,0.0059594755661501785,0.04410011918951132,0.0,0.01907032181168057
scenario_2,run_9,0.03098927294398093,0.04767580452920143,0.041716328963051254,0.04529201430274136,0.004767580452920143,0.023837902264600714,0.0059594755661501785,0.03456495828367104,0.0,0.014302741358760428
scenario_2,run_10,0.025029797377830752,0.054827175208581644,0.03456495828367104,0.03814064362336114,0.0059594755661501785,0.04290822407628129,0.011918951132300357,0.04410011918951132,0.0,0.01907032181168057
scenario_3,run_2,0.013057671381936888,0.07290533188248095,0.025027203482045703,0.04570184983677911,0.04352557127312296,0.023939064200217627,0.008705114254624592,0.05005440696409141,0.002176278563656148,0.018498367791077257
scenario_3,run_1,0.020022246941045607,0.05672969966629588,0.018909899888765295,0.03781979977753059,0.047830923248053395,0.028921023359288096,0.00778642936596218,0.03781979977753059,0.0033370411568409346,0.018909899888765295
scenario_3,run_3,0.008705114254624592,0.060935799782372145,0.03264417845484222,0.04787812840043525,0.04352557127312296,0.02720348204570185,0.009793253536452665,0.04026115342763874,0.001088139281828074,0.01958650707290533
scenario_3,run_4,0.01557285873192436,0.03670745272525028,0.025583982202447165,0.035595105672969966,0.0389321468298109,0.024471635150166853,0.012235817575083427,0.05116796440489433,0.0011123470522803114,0.021134593993325918
scenario_3,run_5,0.015233949945593036,0.046789989118607184,0.03482045701849837,0.023939064200217627,0.04352557127312296,0.022850924918389554,0.015233949945593036,0.06420021762785637,0.001088139281828074,0.018498367791077257
